Description	Dicots	Monocots,	Conifers	Ferns and fern allies																																																															
Life_Form_Type	ANNUAL HERB	BIENNIAL HERB	PERRENIAL HERB	SHRUB	TREE	SHRUB/TREE	VINE	GRASS	SEDGE	MONOCOTS (NON-GRASS)																																																									
Stem_Hair_Type	DENDRITIC	GLABROUS	HIRSUTE	HISPID	LEPIDOTE	PILOSE	PUBERULENT	STRIGOSE	STELLATE	TOMENTOSE	VILLOUS	GLAUCOUS																																																							
Phyllotaxy_Type	ALTERNATE	OPPOSITE	WHORLED	DECUSSATE	DISTICHOUS	EQUITANT	TERNATE	CAULINE																																																											
Leaf_Types	Simple	Compound																																																																	
Leaf_Margin_Type	Teeth	Lobed	Entire																																																																
Leaf_Shape_Type	Acerose	Awl-shaped	Gladiate	Hastate	Cordate	Deltoid	Lanceolate	Linear	ELLIPTIC	ENSIFORM	LYRATE	OBCORDATE	FALCATE	FLABELLATE	OBDELTOID	OBELLIPTIC 	OBLANCEOLATE	OBLONG	PERFOLIATE	QUADRATE	OBOVATE	ORBICULAR	RENIFORM	RHOMBIC	OVAL	OVATE	ROTUND	SAGITTATE	PANDURATE	PELTATE	SPATULATE	SUBULATE																																			
Leaf_Hair_Type	DENDRITIC	GLABROUS (smooth)	HIRSUTE	HISPID	LEPIDOTE	PILOSE	PUBERULENT	STRIGOSE	STELLATE	TOMENTOSE	VILLOUS	Glaucous																																																							
Breeding_Type	MONOECIOUS 	ANDROMONOECIOUS	CHASOMOGAMOUS	DIOECIOUS 	GYNODIOECIOUS	POLYGAMO-MONECIOUS	POLYGAMOUS	POLYGAMO-DIOECOIUS	GYNOMONECIOUS	Sterile																																																									
Infloresence_Type	ANTHELATE	AXILLARY	CATKIN	CLUSTERS	CORYMB	CYME	DICHASIUM	ELONGATE	FASCICLE	GLOMERATE	HEAD	LAX	PANICLE	PEDUNCULATE	RACEME	SOLITARY	SCORPIOID	SPATHE/SPADIX	SPICIFORM	SPIKE	STELLATE	THYRSE	TERMINAL	UMBEL	VERTISCILLASTER	VERTICIL																																									
Corolla_Type	ADNATE	BILABIATE	CAMPANULATE	CORYMBOSE	CONVOLUTE	CORONA	CUNEATE	CYLINDRICAL	DISK	DELTATE	ELLIPTIC	FUNNELFORM	FLABELLATE	FILIFORM	HOOD	IRREGULAR	KEEL	LABELLUM	LANCEOLATE	LINEAR	LIPPED	LOBBED	OVATE	OBLONG	OBCORDATE	OBOVATE	OBLANCEOLATE	ORBICULAR	PALATE	PSEUDORACEMES	ROTATE	RAY	REFLEXED	RHOMBIC	RENIFORM	SALVERFORM	SUBORBICULAR	SUBRHOMBIC	SPUR	SPATULATE	SPICATE	SUBROTATE	STANDARD	TUBULAR	TRIANGULAR	URCEOLATE	UNILABIATE	VALVATE	VERTICIL	ZYGOMORPHIC	CUP	UNGUICULATE	CLAW	FASICLE	STELLATE	SUBPANICULATE	PENTAGONAL										
Fruit_Type	ACHENE	AGGREGATE	ARTICLE	BERRY	CAPSULE	CARYOPSIS	DRUPE	FOLLICLE	LEGUME	MERICARP	MULTIPLE	NUT	PEPO	POME	SCHIZOCARP	SILICLE	SILIQUE	SYCONIUM																																																	
Island	HAWAII	MAUI	KAHOOLAWE	MOLOKAI	LANAI	OAHU	KAUAI	ALL ISLANDS	NIIHAU	ALL ISLANDS																																																									
Origin	naturalized	INDIGENOUS	ENDEMIC	POLYNESIAN INTRODUCTION																																																															
Fed Status	NO STATUS	SP. OF CONCERN	ENDANGERED,	THREATENED


