,family,genus,species,common_name,wagner_pg_number,description,infraspecific_epithet,stem_hair_type,phyllotaxy_type,breeding_type,inflorescence_type,ray_color,floret_color,spathe_color,perianth_outer_color,perianth_inner_color,perianth_color,labellum_color,corolla_type,staminate_corolla_type,pistillate_corolla_type,corolla_color,fruit_type,ploidy,chromosome_number,average_chromosome_number,origin,status,life_form_type,leaf_type,leaf_margin_type,leaf_shape_type,juvenile_leaf_type,juvenile_leaf_margin_type,juvenile_leaf_shape_type,leaflets_leaf_type,leaflets_leaf_margin_type,leaflets_leaf_shape_type,leaf_hair_type,leaf_hair_upper_type,leaf_hair_lower_type,juvenile_leaf_hair_type,island_type,hawaiian_name,stem_height,leaf_length,leaf_width,juvenile_leaf_length,juvenile_leaf_width,leaflets_leaf_length,leaflets_leaf_width,petioles,staminate_inflorescence_length,staminate_inflorescence_width,pistillate_inflorescence_length,pistillate_inflorescence_width,inflorescence_flower_length,inflorescence_flower_width,flower_length,flower_width,rachis_length,rachis_diameter,head_length,head_diameter,bur_length,tepal_length,staminate_tepal_length,pistillate_tepal_length,ray_length,ray_width,florets_length,involucre_length,involucre_width,staminate_involucre_length,pistilate_involucre_length,bract_length,bract_width,bract_lower_length,bract_outer_length,bracteoles_length,bracteoles_width,pedicel_length,pedicel_width,pistillate_pedicel_length,hypanthium_length,hypanthium_width,peduncle_length,peduncle_width,spathe_length,spathe_width,spadix_length,perianth_length,perianth_width,perianth_outer_length,perianth_outer_width,perianth_inner_length,perianth_inner_width,perianth_tube_length,perianth_lobes_length,perianth_lobes_width,staminate_perianth_tube_length,pistillate_perianth_tube_length,pappus_length,umbellet_length,labellum_length,labellum_width,calyx_length,calyx_width,calyx_teeth_length,calyx_teeth_width,calyx_lobes_length,calyx_lobes_width,upper_calyx_length,lower_calyx_length,inner_calyx_lobes_length,inner_calyx_lobes_width,outer_calyx_lobes_length,outer_calyx_lobes_width,calyx_tube_length,calyx_tube_width,male_calyx_length,male_calyx_width,male_calyx_lobes_length,male_calyx_lobes_width,female_calyx_length,female_calyx_width,female_calyx_lobes_length,female_calyx_lobes_width,male_calyx_lobes_length_inner,male_calyx_lobes_length_outer,male_calyx_lobes_width_outer,male_calyx_tube_length,female_calyx_lobes_length_inner,female_calyx_lobes_length_outer,female_calyx_lobes_width_inner,female_calyx_lobes_width_outer,inner_calyx_length,outer_calyx_length,corolla_length,corolla_width,corolla_tube_length,corolla_tube_width,corolla_lobes_length,corolla_lobes_width,upper_corolla_length,lower_corolla_length,upper_corolla_lobes_length,lower_corolla_lobes_length,corolla_lip_length,staminate_corolla_length,pistillate_corolla_length,staminate_corolla_tube_length,staminate_corolla_tube_width,pistillate_corolla_tube_length,pistillate_corolla_tube_width,female_corolla_lobes_length,female_corolla_lobes_width,male_corolla_lobes_length,male_corolla_lobes_width,fruit_length,fruit_width,fruit_diameter,seeds_perfruit,seed_length,seed_width,seed_diameter,pistillate_peduncle_length,pistillate_peduncle_width,staminate_pedicel_length,staminate_peduncle_length,staminate_peduncle_width,species_key
0,Acanthaceae,Asystasia,gangetica,"Chinese_violet,  Asystasia",pg 168-169,Dicots,"micrantha, gangetica",STRIGOSE,DECUSSATE,MONOECIOUS,,,,,,,,,ZYGOMORPHIC,,,Pale blue to purple or white or tinged yellow,CAPSULE,2n,"26, 28, 44, 48, 50, 52",41.3333333,NATURALIZED,,['PERENNIAL_HERB'],['SIMPLE'],['NO TEETH'],,,,,,,,['STRIGOSE'],,,,"['MAUI', 'MOLOKAI', 'OAHU', 'KAUAI']",,"{'exmin': nan, 'min': 0.5, 'max': 2.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 2.5, 'max': 13.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.5, 'max': 4.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.5, 'max': 4.5, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': nan, 'max': '`NA', 'exmax': nan, 'unit': 'mm'}",,"{'exmin': '`NA', 'min': nan, 'max': '`NA', 'exmax': nan, 'unit': 'mm'}","{'exmin': None, 'min': '`NA', 'max': nan, 'exmax': None, 'unit': 'mm'}","{'exmin': nan, 'min': 1.0, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,"{'exmin': None, 'min': '`NA', 'max': nan, 'exmax': None, 'unit': 'mm'}","{'exmin': None, 'min': '`NA', 'max': nan, 'exmax': None, 'unit': 'mm'}","{'exmin': nan, 'min': 1.0, 'max': 2.0, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 1.0, 'max': 2.0, 'exmax': nan, 'unit': 'mm'}",,,,,"{'exmin': nan, 'min': 35.0, 'max': 45.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 5.0, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': 5.0, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 30.0, 'max': 35.0, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': 11.0, 'max': 42.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': 4.0, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,,,,,,acanthaceae_asystasia_gangetica
1,Acanthaceae,Barleria,cristata,Philippine_violet,pg 168-170,Dicots,,PUBERULENT,DECUSSATE,MONOECIOUS,,,,,,,,,FUNNELFORM,CAMPANULATE,,"Violet, pink or white",CAPSULE,2n,"34, 36, 38, 40",37,NATURALIZED,,['SHRUB'],['SIMPLE'],['NO TEETH'],,,,,,,,['STRIGOSE'],,,,"['HAWAII', 'OAHU', 'KAUAI']",,"{'exmin': nan, 'min': 0.6, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 2.5, 'max': 10.0, 'exmax': 19.0, 'unit': 'cm'}",,,,,,"{'exmin': nan, 'min': 0.2, 'max': 1.0, 'exmax': 3.5, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 8.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 8.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 0.0, 'max': 1.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 10.0, 'max': 15.0, 'exmax': 25.0, 'unit': 'mm'}",,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': 25.0, 'unit': 'mm'}",,"{'exmin': 'whats the difference between the male and just calyx?', 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,"{'exmin': None, 'min': 7.0, 'max': nan, 'exmax': None, 'unit': 'mm'}","{'exmin': None, 'min': 10.0, 'max': '25 in fruit is this the same check to make sure this is right ', 'exmax': None, 'unit': 'mm'}","{'exmin': nan, 'min': 50.0, 'max': 57.0, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': 31.0, 'max': 43.0, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': 11.0, 'max': 22.0, 'exmax': nan, 'unit': 'mm'}",,,,,"{'exmin': nan, 'min': '11 (same as the other lobes though so do I still include this here? ', 'max': 22.0, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': None, 'min': 31.0, 'max': 43.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,"{'exmin': nan, 'min': 1.4, 'max': 1.7, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': 4.0, 'max': nan, 'exmax': None, 'unit': 'count'}",,,"{'exmin': None, 'min': nan, 'max': 0.4, 'exmax': 0.5, 'unit': 'cm'}",,,,,,acanthaceae_barleria_cristata
2,Acanthaceae,Ruellia,blechum,,,Dicots,,PUBERULENT,,,,,,,,,,,,,,,,,,,NATURALIZED,,['PERENNIAL_HERB'],,['NO TEETH'],,,,,,,,"['GLABROUS', 'PILOSE']",,,,,,"{'exmin': nan, 'min': nan, 'max': 0.7, 'exmax': nan, 'unit': 'm'}",,,,,,,"{'exmin': nan, 'min': nan, 'max': 2.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acanthaceae_ruellia_blechum
3,Acanthaceae,Dicliptera,chinensis,,pg 171,Dicots,,,DECUSSATE,MONOECIOUS,,,,,,,,,FUNNELFORM,,,Rose to purple,CAPSULE,2n,,,NATURALIZED,,['PERENNIAL_HERB'],['SIMPLE'],,,,,,,,,['STRIGOSE'],,,,"['HAWAII', 'MAUI', 'MOLOKAI', 'OAHU', 'KAUAI']",,"{'exmin': nan, 'min': 0.2, 'max': 0.7, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 2.5, 'max': 13.5, 'exmax': nan, 'unit': 'cm'}",,,,,,"{'exmin': nan, 'min': 1.0, 'max': 3.5, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 8.0, 'max': 14.0, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 0.0, 'max': 1.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 5.0, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 5.0, 'max': 13.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 6.0, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': 4.0, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,,,,,,acanthaceae_dicliptera_chinensis
4,Acanthaceae,Hemigraphis,alternata,"metal-flower, red-flame",pg 171,Dicots,,,DECUSSATE,MONOECIOUS,,,,,,,,,TUBULAR,,,White with purple veins,,,,,NATURALIZED,,['PERENNIAL_HERB'],['SIMPLE'],['NO TEETH'],['CORDATE'],,,,,,,['HISPID'],,,,['OAHU'],,"{'exmin': nan, 'min': 0.3, 'max': 0.8, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 3.5, 'max': 15.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.6, 'max': 6.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 1.5, 'max': 3.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 7.0, 'max': 12.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 7.0, 'max': 10.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': None, 'min': 6.0, 'max': 12.0, 'exmax': None, 'unit': 'count'}",,,,,,,,,acanthaceae_hemigraphis_alternata
5,Acanthaceae,Strobilanthes,reptans,no common name,pg 171-172,Dicots,,HISPID,DECUSSATE,MONOECIOUS,,,,,,,,,TUBULAR,,,White,CAPSULE,,,,NATURALIZED,,['PERENNIAL_HERB'],['SIMPLE'],['TEETH'],"['ELLIPTIC', 'OBLONG']",,,,,,,['HISPID'],,,,"['HAWAII', 'OAHU', 'KAUAI']",,"{'exmin': nan, 'min': 0.3, 'max': 0.8, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 4.0, 'max': 15.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.6, 'max': 4.3, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 15.0, 'max': 25.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 10.0, 'max': 10.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 6.0, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': 6.0, 'max': 12.0, 'exmax': None, 'unit': 'count'}",,,,,,,,,acanthaceae_strobilanthes_reptans
6,Acanthaceae,Hypoestes,phyllostachya,,,Dicots,,,,,,,,,,,,,,,,,,,,,NATURALIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acanthaceae_hypoestes_phyllostachya
7,Acanthaceae,Justicia,betonica,"white shrimp plant, squirrel's tail",,Dicots,,GLABROUS to PUBERULENT,DECUSSATE,MONOECIOUS,,,,,,,,,TUBULAR,,,Pale lavender with a white spot on lower lip,CAPSULE,2n,"28, 34",31,NATURALIZED,,['PERENNIAL_HERB'],['SIMPLE'],['NO TEETH'],['ELLIPTIC'],,,,,,,['STRIGOSE'],,,,"['HAWAII', 'MAUI', 'KAHOOLAWE', 'MOLOKAI', 'LANAI', 'OAHU', 'KAUAI', 'NIIHAU', 'ALL ISLANDS']",,"{'exmin': nan, 'min': 0.5, 'max': 2.5, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 9.0, 'max': 22.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 3.5, 'max': 12.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.5, 'max': 4.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 15.0, 'max': 15.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 10.0, 'max': 10.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 5.0, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': nan, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 14.0, 'max': 17.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 1.3, 'max': 2.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': 4.0, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,,,,,,acanthaceae_justicia_betonica
8,Acanthaceae,Odontonema,cuspidatum,,,Dicots,,,,,,,,,,,,,,,,,,,,,NATURALIZED,,"['ANNUAL_HERB', 'PERENNIAL_HERB', 'SHRUB']",['SIMPLE'],['NO TEETH'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acanthaceae_odontonema_cuspidatum
9,Acanthaceae,Pseuderanthemum,variable,,,Dicots,,,,,,,,,,,,,,,,,,,,,NATURALIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acanthaceae_pseuderanthemum_variable
