Description,Life_Form_Type,Stem_Hair_Type,Phyllotaxy_Type,Leaf_Type,Leaf_Margin_Type,Leaf_Shape_Type,Leaf_Hair_Type,Breeding_Type,inflorescence_type,Corolla_Type,Fruit_Type,Island_type,status,origin
D=Dicots,AH=ANNUAL HERB,D=DENDRITIC,A=ALTERNATE,S=Simple,T=Teeth,A=Acerose,D=DENDRITIC,M=MONOECIOUS ,Ca=CATKIN,Ad=ADNATE,A=ACHENE,H=HAWAII,NATU: naturalized,NATU: naturalized
"M=Monocots,",BH=BIENNIAL HERB,G=GLABROUS (smooth),O=OPPOSITE,C=Compound,L=Lobed,AW=Awl-shaped,G=GLABROUS,A=ANDROMONOECIOUS,Fa=FASCICLE,B=BILABIATE,Ag=AGGREGATE,MA=MAUI,IND = INDIGENOUS,IND = INDIGENOUS
C=Conifers,PH=PERRENIAL HERB,H=HIRSUTE,W=WHORLED,,E=Entire,G=Gladiate,H=HIRSUTE,C=CHASOMOGAMOUS,Cy=CYME,C=CAMPANULATE,Ar=ARTICLE,KAH=KAHOOLAWE,END = ENDEMIC,END = ENDEMIC
F=Ferns and fern allies,S=SHRUB,Hi=HISPID,De=DECUSSATE,,,H=Hastate,Hi=HISPID,D=DIOECIOUS ,H=HEAD,Cm=CORYMBOSE,B=BERRY,MO=MOLOKAI,PI = POLYNESIAN INTRODUCTION,PI = POLYNESIAN INTRODUCTION
,T=TREE,L=LEPIDOTE,Di=DISTICHOUS,,,C=Cordate,L=LEPIDOTE,G=GYNODIOECIOUS,P=PANICLE,Cn=CONVOLUTE,C=CAPSULE,L=LANAI,,
,ST=SHRUB/TREE,P=PILOSE,E=EQUITANT,,,D=Deltoid,P=PILOSE,Pm=POLYGAMO-MONECIOUS,D=DICHASIUM,CO=CORONA,Ca=CARYOPSIS,O=OAHU,,
,V=VINE,Pu=PUBERULENT,T=TERNATE,,,LA=Lanceolate,Pu=PUBERULENT,P=POLYGAMOUS,R=RACEME,Cu=CUNEATE,D=DRUPE,KAU=KAUAI,,
,G=GRASS,S=STRIGOSE,C=CAULINE,,,L=Linear,S=STRIGOSE,Pg=POLYGAMO-DIOECOIUS,Gl=GLOMERATE,Cy=CYLINDRICAL,F=FOLLICLE,A=ALL ISLANDS,,
,SE=SEDGE,St=STELLATE,,,,E=ELLIPTIC,St=STELLATE,Gm=GYNOMONECIOUS,Sp=SPATHE/SPADIX,D=DISK,L=LEGUME,NI=NIIHAU,,
,M=MONOCOTS,T=TOMENTOSE,,,,EN=ENSIFORM,T=TOMENTOSE,S=Sterile,T=THYRSE,De=DELTATE,M=MERICARP,A=ALL ISLANDS,,
,,V=VILLOUS,,,,LY=LYRATE,V=VILLOUS,,U=UMBEL,E=ELLIPTIC,Mu=MULTIPLE,,,
,,GL=Glaucous,,,,OB=OBCORDATE,GL=Glaucous,,V=VERTISCILLASTER,F=FUNNELFORM,N=NUT,,,
,,,,,,F=FALCATE,,,S=SOLITARY,Fb=FLABELLATE,P=PEPO,,,
,,,,,,FL=FLABELLATE,,,Ax=AXILLARY,Fi=FILIFORM,Po=POME,,,
,,,,,,OBD=OBDELTOID,,,Cl=CLUSTERS,H=HOOD,S=SCHIZOCARP,,,
,,,,,,OBE=OBELLIPTIC ,,,Spi=SPIKE,I=IRREGULAR,Si=SILICLE,,,
,,,,,,OBL=OBLANCEOLATE,,,Co=CORYMB,K=KEEL,Sl=SILIQUE,,,
,,,,,,OBLO=OBLONG,,,E=ELONGATE,L=LABELLUM,Sy=SYCONIUM,,,
,,,,,,P=PERFOLIATE,,,Te=TERMINAL,La=LANCEOLATE,,,,
,,,,,,Q=QUADRATE,,,Sc=SCORPIOID,Li=LINEAR,,,,
,,,,,,OBO=OBOVATE,,,Spc=SPICIFORM,Lip=LIPPED,,,,
,,,,,,ORB=ORBICULAR,,,L=LAX,Lo=LOBBED,,,,
,,,,,,R=RENIFORM,,,Ve=VERTICIL,O=OVATE,,,,
,,,,,,RH=RHOMBIC,,,Pe=PEDUNCULATE,Ob=OBLONG,,,,
,,,,,,OV=OVAL,,,An=ANTHELATE,Obc=OBCORDATE,,,,
,,,,,,OVA=OVATE,,,Ste=STELLATE,Obo=OBOVATE,,,,
,,,,,,RO=ROTUND,,,,Ol=OBLANCEOLATE,,,,
,,,,,,S=SAGITTATE,,,,Or=ORBICULAR,,,,
,,,,,,PA=PANDURATE,,,,P=PALATE,,,,
,,,,,,PE=PELTATE,,,,Pr=PSEUDORACEMES,,,,
,,,,,,SP=SPATULATE,,,,R=ROTATE,,,,
,,,,,,SU=SUBULATE,,,,Ra=RAY,,,,
,,,,,,,,,,Re=REFLEXED,,,,
,,,,,,,,,,Rh=RHOMBIC,,,,
,,,,,,,,,,Rn=RENIFORM,,,,
,,,,,,,,,,S=SALVERFORM,,,,
,,,,,,,,,,Sb=SUBORBICULAR,,,,
,,,,,,,,,,Sbr=SUBRHOMBIC,,,,
,,,,,,,,,,Sp=SPUR,,,,
,,,,,,,,,,Spa=SPATULATE,,,,
,,,,,,,,,,Spi=SPICATE,,,,
,,,,,,,,,,Sr=SUBROTATE,,,,
,,,,,,,,,,St=STANDARD,,,,
,,,,,,,,,,T=TUBULAR,,,,
,,,,,,,,,,Tri=TRIANGULAR,,,,
,,,,,,,,,,U=URCEOLATE,,,,
,,,,,,,,,,Ul=UNILABIATE,,,,
,,,,,,,,,,V=VALVATE,,,,
,,,,,,,,,,Ve=VERTICIL,,,,
,,,,,,,,,,Z=ZYGOMORPHIC,,,,
,,,,,,,,,,Cp=CUP,,,,
,,,,,,,,,,Un=UNGUICULATE,,,,
,,,,,,,,,,CLA=CLAW,,,,
,,,,,,,,,,Fa=FASICLE,,,,
,,,,,,,,,,Ste=STELLATE,,,,
,,,,,,,,,,Sbp=SUBPANICULATE,,,,
,,,,,,,,,,Pe=PENTAGONAL,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
