Unnamed: 0.1,Unnamed: 0,family,genus,species,common_name,wagner_pg_number,description,infraspecific_epithet,stem_hair_type,phyllotaxy_type,leaf_hair_description,leaf_hair_upper_description,leaf_hair_lower_description,breeding_type,inflorescence_type,ray_color,floret_color,spathe_color,perianth_outer_color,perianth_inner_color,perianth_color,labellum_color,corolla_type,staminate_corolla_type,pistillate_corolla_type,corolla_color,fruit_type,ploidy,chromosome_number,average_chromosome_number,origin,status,life_form_type,leaf_type,leaf_margin_type,leaf_shape_type,juvenile_leaf_type,juvenile_leaf_margin_type,juvenile_leaf_shape_type,leaflets_leaf_type,leaflets_leaf_margin_type,leaflets_leaf_shape_type,leaf_hair_type,leaf_hair_upper_type,leaf_hair_lower_type,juvenile_leaf_hair_type,island_type,hawaiian_name,stem_height,leaf_length,leaf_width,juvenile_leaf_length,juvenile_leaf_width,leaflets_leaf_length,leaflets_leaf_width,petioles,staminate_inflorescence_length,staminate_inflorescence_width,pistillate_inflorescence_length,pistillate_inflorescence_width,inflorescence_flower_length,inflorescence_flower_width,flower_length,flower_width,rachis_length,rachis_diameter,head_length,head_diameter,bur_length,tepal_length,staminate_tepal_length,pistillate_tepal_length,ray_length,ray_width,florets_length,involucre_length,involucre_width,staminate_involucre_length,pistilate_involucre_length,bract_length,bract_width,bract_lower_length,bract_outer_length,bracteoles_length,bracteoles_width,pedicel_length,pedicel_width,staminate_pedicel_width,pistillate_pedicel_width,pistillate_pedicel_length,hypanthium_length,hypanthium_width,peduncle_length,peduncle_width,staminate_peduncle_length,staminate_peduncle_width,pistillate_peduncle_length,pistillate_peduncle_width,spathe_length,spathe_width,spadix_length,perianth_length,perianth_width,perianth_outer_length,perianth_outer_width,perianth_inner_length,perianth_inner_width,perianth_tube_length,perianth_lobes_length,perianth_lobes_width,staminate_perianth_tube_length,pistillate_perianth_tube_length,pappus_length,umbellet_length,labellum_length,labellum_width,calyx_length,calyx_width,calyx_teeth_length,calyx_teeth_width,calyx_lobes_length,calyx_lobes_width,upper_calyx_length,lower_calyx_length,inner_calyx_lobes_length,inner_calyx_lobes_width,outer_calyx_lobes_length,outer_calyx_lobes_width,calyx_tube_length,calyx_tube_width,male_calyx_length,male_calyx_width,male_calyx_lobes_length,male_calyx_lobes_width,female_calyx_length,female_calyx_width,female_calyx_lobes_length,female_calyx_lobes_width,male_calyx_lobes_length_inner,male_calyx_lobes_length_outer,male_calyx_lobes_width_outer,male_calyx_tube_length,female_calyx_lobes_length_inner,female_calyx_lobes_length_outer,female_calyx_lobes_width_inner,female_calyx_lobes_width_outer,inner_calyx_length,outer_calyx_length,corolla_length,corolla_width,corolla_tube_length,corolla_tube_width,corolla_lobes_length,corolla_lobes_width,upper_corolla,lower_corolla,upper_corolla_lobes_length,lower_corolla_lobes_length,corolla_lip,staminate_corolla_length,pistillate_corolla_length,staminate_corolla_tube_length,staminate_corolla_tube_width,pistillate_corolla_tube_length,pistillate_corolla_tube_width,female_corolla_lobes_length,female_corolla_lobes_width,male_corrola_lobes_length,male_corrola_lobes_width,fruit_length,fruit_width,fruit_diameter,seeds_perfruit,seed_length,seed_width,seed_diameter,species_id
0,0,Asteraceae,Ambrosia,artemisiifolia,common ragweed,pg 256-257,['DICOTS'],,['HIRSUTE'],"['OPPOSITE', 'ALTERNATE']",,hirsutulous,strigose,['MONOECIOUS'],"['RACEME', 'SPIKE']",,,,,,,,['NAN'],,,,['NAN'],2n,"34, 36",35.0,['PREDOMINANT CULTIVAR'],['NATURALIZED'],['ANNUAL HERB'],['COMPOUND'],[],"['LANCEOLATE', 'ELLIPTIC']",[],[],[],[],[],[],[],['H'],['S'],[],"['HAWAII', 'MAUI', 'MOLOKAI', 'OAHU']",set(),"{'exmin': nan, 'min': 0.3, 'max': 1.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 4.0, 'max': 10.0, 'exmax': 30.0, 'unit': 'cm'}","{'exmin': nan, 'min': 4.0, 'max': 7.0, 'exmax': 15.0, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,"{'min': 1.5, 'max': 2.0, 'unit': 'mm'}","{'min': 3.0, 'max': 5.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Ambrosia_artemisiifolia
1,1,Asteraceae,Dubautia,laxa,na`ena`e pua melemele,"pg 292-295,301",['DICOTS'],pseudoplantaginea,"['GLABROUS (SMOOTH)', 'HISPID']",['WHORLED'],glabrous,,,['MONOECIOUS'],['CORYMB'],,,,,,,,['TRIANGULAR'],,,Yellow,['NAN'],,,,['ENDEMIC'],['ENDEMIC'],['SHRUB'],['SIMPLE'],['TEETH'],"['ELLIPTIC', 'OBLANCEOLATE', 'OBLONG']",[],[],[],[],[],[],['GLABROUS'],[],[],[],['OAHU'],{'Na`ena`e pua melemele'},"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': 5.0, 'unit': 'm'}","{'exmin': nan, 'min': 4.0, 'max': 20.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.0, 'max': 6.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 20.0, 'max': 170.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': nan, 'min': 3.0, 'max': 27.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 4.0, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,"{'exmin': nan, 'min': 0.0, 'max': 25.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,"{'min': 2.0, 'max': 3.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Dubautia_laxa
2,2,Asteraceae,Tetramolopium,filiforme,no common name,"pg 361-362, 365, 366",['DICOTS'],polyphyllum,['GLABROUS (SMOOTH)'],['ALTERNATE'],,,,['NAN'],['SOLITARY'],White or pale lavender,,,,,,,['FUNNELFORM'],,,Maroon,['NAN'],2n,18*,18.0,['ENDEMIC'],['ENDEMIC'],['SHRUB'],['SIMPLE'],['TEETH'],"['LINEAR', 'OBLANCEOLATE']",[],[],[],[],[],[],['STRIGOSE'],[],[],[],['OAHU'],set(),"{'exmin': nan, 'min': 0.05, 'max': 0.15, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 1.0, 'max': 2.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.04, 'max': 0.12, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': 0.5, 'min': 0.7, 'max': 1.0, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': 4.0, 'max': 5.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 7.0, 'max': 10.0, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': 1.5, 'max': 2.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,"{'exmin': 19.0, 'min': 20.0, 'max': 47.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,"{'min': 2.2, 'max': 3.2, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.1, 'max': 4.0, 'exmax': 4.3, 'unit': 'mm'}",,"{'exmin': nan, 'min': 1.3, 'max': 2.1, 'exmax': nan, 'unit': 'mm'}",,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 2.7, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 0.6, 'max': nan, 'exmax': 1.0, 'unit': 'mm'}",,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Tetramolopium_filiforme
3,3,Asteraceae,Encelia,farinosa,brittle bush,pg 312-313,['DICOTS'],,['PUBERULENT'],['ALTERNATE'],densely white tomentose,,,['MONOECIOUS'],['PANICLE'],,,,,,,,['NAN'],,,Purple,['ACHENE'],2n,"34, 36",35.0,['PREDOMINANT CULTIVAR'],['NATURALIZED'],['SHRUB'],['SIMPLE'],['TEETH'],['LANCEOLATE'],[],[],[],[],[],[],['TOMENTOSE'],[],[],[],['MAUI'],set(),"{'exmin': nan, 'min': 0.3, 'max': 0.8, 'exmax': 1.6, 'unit': 'm'}","{'exmin': nan, 'min': 3.0, 'max': 10.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 2.0, 'max': 5.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 1.0, 'max': 4.5, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': 250.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,"{'exmin': nan, 'min': 7.0, 'max': 12.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,"{'exmin': nan, 'min': 3.5, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 4.0, 'max': 4.5, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Asteraceae_Encelia_farinosa
4,4,Aristolochiaceae,Aristolochia,littoralis,calico flower,"pg 237-238,239",['DICOTS'],,['NAN'],['ALTERNATE'],,,glaucous,['MONOECIOUS'],['SOLITARY'],,,,,,,,['TUBULAR'],,,,['CAPSULE'],2n,"14, 16",15.0,['PREDOMINANT CULTIVAR'],['NATURALIZED'],['SHRUB'],['SIMPLE'],[],"['CORDATE', 'RENIFORM']",[],[],[],[],[],[],[],[],['GL'],[],"['MAUI', 'OAHU', 'KAUAI']",set(),"{'exmin': nan, 'min': 2.0, 'max': 3.0, 'exmax': 6.0, 'unit': 'm'}","{'exmin': nan, 'min': 7.0, 'max': 9.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 6.0, 'max': 10.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 70.0, 'max': 600.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': 30.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': nan, 'min': nan, 'max': 100.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 60.0, 'max': 95.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,"{'min': 15.0, 'max': 25.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 45.0, 'exmax': nan, 'unit': 'mm'}",,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': 25.0, 'unit': 'mm'}","{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}","{'exmin': nan, 'min': nan, 'max': 0.6, 'unit': 'cm'}",,,Aristolochiaceae_Aristolochia_littoralis
5,5,Acanthaceae,Thunbergia,grandiflora,"Bengal trumpet, blue trumpet vine",pg 174-175,['DICOTS'],,['NAN'],['NAN'],,,,['MONOECIOUS'],"['RACEME', 'SOLITARY']",,,,,,,,['TUBULAR'],,,Blue or white,['NAN'],2n,56,56.0,['NATURALIZED'],['NAN'],['VINE'],['SIMPLE'],['TEETH'],[],[],[],[],[],[],[],[],[],[],[],"['HAWAII', 'OAHU', 'KAUAI']",set(),,"{'exmin': 8.0, 'min': 11.0, 'max': 22.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 3.0, 'max': 15.0, 'exmax': nan, 'unit': 'cm'}",,"{'exmin': nan, 'min': 3.0, 'max': 15.0, 'exmax': nan, 'unit': 'cm'}",,,"{'exmin': nan, 'min': 3.0, 'max': 7.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 25.0, 'max': 40.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 10.0, 'max': 30.0, 'exmax': nan, 'unit': 'mm'}",,,"{'min': 20.0, 'max': 38.0, 'exmax': 45.0, 'unit': 'mm'}","{'min': 10.0, 'max': 16.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 40.0, 'max': 120.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': '20', 'max': 50.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 50.0, 'max': 75.0, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': 20.0, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': nan, 'min': 25.0, 'max': 40.0, 'exmax': nan, 'unit': 'mm'}","{'min': 20.0, 'max': 25.0, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}","{'exmin': nan, 'min': 0.7, 'max': 0.8, 'unit': 'cm'}",,,Acanthaceae_Thunbergia_grandiflora
6,6,Agavaceae,Agave,sisalana,"sisal, malina",pg 1347-1349,['MONOCOTS'],,['NAN'],['ALTERNATE'],,,,"['POLYGAMO-DIOECOIUS', 'DIOECIOUS']",['NAN'],,,,,,,,['NAN'],,,,['CAPSULE'],2n,"ca. 138, 149, 150",145.666667,['NATURALIZED'],['NAN'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],{'Malina'},,"{'exmin': nan, 'min': nan, 'max': 150.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': nan, 'max': 10.0, 'exmax': nan, 'unit': 'cm'}",,"{'exmin': nan, 'min': nan, 'max': 10.0, 'exmax': nan, 'unit': 'cm'}",,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 4.5, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': 6.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Agavaceae_Agave_sisalana
7,7,Alismataceae,Sagittaria,latifolia,"arrowhead, swamp potato",pg 1354-1355,['MONOCOTS'],,['NAN'],['ALTERNATE'],,,,"['MONOECIOUS', 'DIOECIOUS']","['VERTICIL', 'RACEME']",,,,,,,,['ELLIPTIC'],,,White,['ACHENE'],2n,22,22.0,['NATURALIZED'],['NAN'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],set(),"{'exmin': nan, 'min': 0.2, 'max': 1.5, 'exmax': 2.0, 'unit': 'm'}","{'exmin': nan, 'min': 2.0, 'max': 20.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 0.5, 'max': 12.0, 'exmax': nan, 'unit': 'cm'}",,"{'exmin': nan, 'min': 0.5, 'max': 12.0, 'exmax': nan, 'unit': 'cm'}",,,"{'exmin': nan, 'min': 20.0, 'max': 70.0, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 150.0, 'max': 700.0, 'exmax': 900.0, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 5.0, 'max': 10.0, 'exmax': 15.0, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': 5.0, 'max': 60.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': '5', 'max': 10.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 10.0, 'max': 20.0, 'exmax': nan, 'unit': 'mm'}",,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 0.25, 'max': 0.4, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Alismataceae_Sagittaria_latifolia
8,8,Amaranthaceae,Achyranthes,atollensis,no_common_name,pg 180-181,['DICOTS'],,['TOMENTOSE'],['NAN'],"obscured, hairs unusually straight and some spreading",,,['MONOECIOUS'],['SPIKE'],,,,,,,,['ABSENT'],,,,['ACHENE'],,,,['ENDEMIC'],['NAN'],['SHRUB'],['SIMPLE'],[],"['ELLIPTIC', 'OBOVATE']",[],[],[],[],[],[],['STRIGOSE'],[],[],[],[],set(),"{'exmin': nan, 'min': 1.0, 'max': 2.0, 'exmax': nan, 'unit': 'm'}","{'exmin': nan, 'min': 2.0, 'max': 6.2, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': 1.2, 'max': 3.8, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 80.0, 'max': 170.0, 'exmax': nan, 'unit': 'mm'}",,,,,"{'exmin': nan, 'min': 3.0, 'max': 7.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,,"{'min': 3.5, 'max': 4.3, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,"{'exmin': nan, 'min': 15.0, 'max': 25.0, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 3.0, 'max': 4.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}",,,,Amaranthaceae_Achyranthes_atollensis
9,9,Amaranthaceae,Amaranthus,hybridus,green amaranth,pg 185-187,['DICOTS'],hybridus,"['GLABROUS (SMOOTH)', 'PUBERULENT']",['ALTERNATE'],,,glabous or sparsely pilose along margins and veins,['MONOECIOUS'],['NAN'],,,,,,,,['ABSENT'],,,,['NAN'],2n,"17, 24, 32",24.3333333,['NATURALIZED'],['NAN'],['ANNUAL HERB'],['SIMPLE'],[],"['LANCEOLATE', 'RHOMBIC']",[],[],[],[],[],[],[],[],"['G', 'P']",[],"['MAUI', 'OAHU']",set(),"{'exmin': nan, 'min': 1.0, 'max': 2.0, 'exmax': 3.0, 'unit': 'm'}","{'exmin': nan, 'min': 3.0, 'max': 19.0, 'exmax': 30.0, 'unit': 'cm'}","{'exmin': nan, 'min': 1.5, 'max': 8.0, 'exmax': 12.0, 'unit': 'cm'}",,,,,"{'exmin': nan, 'min': 0.5, 'max': 15.0, 'exmax': nan, 'unit': 'cm'}",,,,,,,"{'exmin': nan, 'min': nan, 'max': 45.0, 'exmax': nan, 'unit': 'cm'}","{'exmin': nan, 'min': nan, 'max': 25.0, 'exmax': nan, 'unit': 'cm'}",,,,,,"{'exmin': nan, 'min': 1.5, 'max': 3.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': 1.5, 'max': 3.5, 'exmax': nan, 'unit': 'mm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}","{'exmin': nan, 'min': nan, 'max': nan, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'mm'}",,,,,,,,,,,"{'exmin': nan, 'min': 2.0, 'max': 3.0, 'exmax': nan, 'unit': 'mm'}",,,"{'exmin': None, 'min': nan, 'max': nan, 'exmax': None, 'unit': 'count'}","{'exmin': nan, 'min': 0.08, 'max': 0.13, 'unit': 'cm'}",,,Amaranthaceae_Amaranthus_hybridus
